"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Massachusetts,Season 2017-18,491,31,156,0,2,0,2,0
States,Michigan,Season 2017-18,1065,95,587,3,58,7,174,0
States,Minnesota,Season 2017-18,7609,170,2828,73,2,52,575,0
States,Mississippi,Season 2017-18,431,80,127,0,2,0,75,0
States,Missouri,Season 2017-18,822,51,205,0,0,7,104,0
States,Montana,Season 2017-18,736,50,294,7,6,30,122,0
States,Nebraska,Season 2017-18,283,9,108,1,9,1,18,1
States,Nevada,Season 2017-18,843,24,314,0,4,1,223,0
States,New Hampshire,Season 2017-18,462,37,176,4,1,8,70,0
States,New Jersey,Season 2017-18,1055,103,294,1,180,20,31,0
States,New Mexico,Season 2017-18,1661,41,447,2,28,0,280,0
States,New York,Season 2017-18,4083,232,1419,21,153,17,384,0
States,North Carolina,Season 2017-18,747,41,157,1,10,25,68,0
States,North Dakota,Season 2017-18,1148,72,619,5,8,32,214,0
States,Ohio,Season 2017-18,2559,189,922,9,127,5,199,0
States,Oklahoma,Season 2017-18,1114,100,213,1,53,4,60,0
States,Oregon,Season 2017-18,868,136,185,1,390,0,4,0
States,Pennsylvania,Season 2017-18,1699,85,493,5,5,40,227,0
States,Rhode Island,Season 2017-18,440,13,136,0,0,1,38,0
States,South Carolina,Season 2017-18,874,55,203,0,15,2,60,0
States,South Dakota,Season 2017-18,1305,40,514,4,12,24,190,0
States,Tennessee,Season 2017-18,2261,2,212,61,157,0,3,0
States,Texas,Season 2017-18,1653,79,263,2,162,2,78,0
States,Utah,Season 2017-18,1333,84,621,1,15,71,249,0
States,Vermont,Season 2017-18,379,22,156,0,58,0,0,0
States,Virginia,Season 2017-18,1843,183,533,0,72,34,226,0
States,Washington,Season 2017-18,912,96,231,6,73,4,132,0
States,West Virginia,Season 2017-18,696,64,276,0,12,37,134,0
States,Wisconsin,Season 2017-18,4973,116,1051,17,0,12,373,0
States,Wyoming,Season 2017-18,744,40,142,1,16,2,107,0
States,Puerto Rico,Season 2017-18,724,33,432,0,4,9,142,0
States,Virgin Islands,Season 2017-18,X,X,X,X,X,X,X,X
States,New York City,Season 2017-18,X,X,X,X,X,X,X,X
States,Alabama,Season 2018-19,12,1,0,0,0,0,0,0
States,Alaska,Season 2018-19,0,0,0,0,0,0,0,0
States,Arizona,Season 2018-19,X,X,X,X,X,X,X,X
States,Arkansas,Season 2018-19,14,1,0,0,0,1,0,0
States,California,Season 2018-19,53,0,0,0,0,0,0,0
States,Colorado,Season 2018-19,X,X,X,X,X,X,X,X
States,Connecticut,Season 2018-19,X,X,X,X,X,X,X,X
States,Delaware,Season 2018-19,61,0,0,0,1,0,0,0
States,District of Columbia,Season 2018-19,0,0,0,0,0,0,0,0
States,Florida,Season 2018-19,X,X,X,X,X,X,X,X
States,Georgia,Season 2018-19,X,X,X,X,X,X,X,X
States,Hawaii,Season 2018-19,0,0,0,0,0,0,0,0
States,Idaho,Season 2018-19,X,X,X,X,X,X,X,X
States,Illinois,Season 2018-19,57,0,0,0,0,0,0,0
States,Indiana,Season 2018-19,15,1,0,0,0,0,0,0
States,Iowa,Season 2018-19,57,0,0,0,0,0,0,0
States,Kansas,Season 2018-19,X,X,X,X,X,X,X,X
States,Kentucky,Season 2018-19,X,X,X,X,X,X,X,X
States,Louisiana,Season 2018-19,44,0,0,0,0,0,0,0
States,Maine,Season 2018-19,12,0,0,0,0,0,0,0
States,Maryland,Season 2018-19,92,2,0,0,0,1,0,0
States,Massachusetts,Season 2018-19,X,X,X,X,X,X,X,X
States,Michigan,Season 2018-19,11,5,1,0,0,0,0,0
States,Minnesota,Season 2018-19,27,0,0,0,0,0,0,0
States,Mississippi,Season 2018-19,X,X,X,X,X,X,X,X
States,Missouri,Season 2018-19,X,X,X,X,X,X,X,X
States,Montana,Season 2018-19,22,1,0,1,0,0,1,0
States,Nebraska,Season 2018-19,0,0,0,0,0,0,0,0
States,Nevada,Season 2018-19,X,X,X,X,X,X,X,X
States,New Hampshire,Season 2018-19,10,1,2,0,0,0,0,0
